country_code,aarhus-license,apache-license-2.0,ca-cihi-icis,ca-odla-aldg,ca-ogl-lgo,ca-rflo-drlf,cc-0-1.0,cc-by,cc-by-3.0,cc-by-3.0-at,cc-by-4.0,cc-by-4.0-fi,cc-by-nc-4.0,cc-by-sa,cc-by-sa-2.0,cc-by-sa-4.0,cc-nc,cc-pdm-1.0,dl-de-by-1.0,dl-de-by-2.0,dl-de-by-nc-1.0,dl-de-zero-2.0,geonutz-be-2013-10-01,geonutzv-de-2013-03-19,gfdl,helsinkikanava-opendata-tos,hri-tietoaineistot-lisenssi-nimea,is-fjarsysla-opingogn,is-ogl,is-stadfangaskra-thjodskra,notspecified,odc-by,odc-odbl,odc-odbl-1.0,odc-pddl,odc-uy,official-work,opendatadk,other,other-at,other-closed,other-forsale,other-license-specified,other-nc,other-open,other-pd,other-unpublished,publiek-domein,uk-ogl,us-pd,last_updated
AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,5,,,,,,,,,,,,,,,,,2016-07-29
AT,,,,,,,,363,,1720,,,,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,2016-07-29
AU,,,,,,,,2820,,,5103,,,5,,,11,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,56,,19,,,,2016-07-29
BG,,,,,,,461,2,,,,,,1,,,2,,,,,,,,2,,,,,,269,18,1,,3,,,,,,,,,1,4,37,,,,,2016-07-29
BR,,,,,,,,8,,,,,,,,,1,,,,,,,,,,,,,,766,,196,,,,,,,1,,,,,1,118,,,,,2016-07-29
CA,,,3,2,120977,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-29
CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-29
CL,,,,,,,1,119,,,,,,,,,1568,,,,,,,,1,,,,,,,1,5,,816,,,,,,,,,,6,,,,,,2016-07-29
CY,,,,,,,,,,,520,,,,,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-29
DE,,1,,,,,326,1239,,,24,,,52,,,1,1,126,6345,76,458,270,284,,,,,,,,,3,,,,12,,,,27,,,,412,,,,,,2016-07-29
DK,101,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,20,,,,,198,,,,,,2016-07-29
EC,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,2016-07-29
FI,,,,,,,5,,,,312,501,,,,,,,,,,,,,,1,6,,,,,,,,,,,,235,,,,,,,,,,,,2016-07-29
GB,,,,,,,16,1,,,,,,4,,,,,,,,,,,,,,,,,39,,4,,1,,,,,1,8,,,6,8,3,,,28121,,2016-07-29
GR,,,,,,,,322,,,,,,44,,,9,,,,,,,,3,,,,,,875,,104,,2,,,,,16,4,,,11,654,52,,,,,2016-07-29
HR,,,,,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-29
IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-29
IS,,,,,,,,6,,,,,,1,,,,,,,,,,,,,,2,11,1,9,,,,,,,,,,,,,,,,,,,,2016-07-29
LK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,2016-07-29
MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911,,,,,,,,,,,,,,,,,,,,2016-07-29
MX,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,2016-07-29
MY,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,1183,,,,,,,,,,,,,1,2,,,,,,2016-07-29
NL,,,,,,,1669,45,4182,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1674,,,2016-07-29
PH,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,6,819,1,,,,,,,,,,,,,,,,,,2016-07-29
PL,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,,,,,2016-07-29
PY,,,,,,,1,57,,,,,,11,,,22,,,,,,,,1,,,,,,26,,,,,,,,,,,,,,13,,,,,,2016-07-29
RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,380,,2016-07-29
SE,,,,,,,7,11,,,,,,6,,,,,,,,,,,,,,,,,6,1,1,,,,,,,13,1,,,1,5,11,,,,,2016-07-29
SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,,,,,,,,,,,,,,,,,,,,2016-07-29
SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-29
TT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,2016-07-29
TW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-29
TZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,2016-07-29
US,,,,,,,1801,1333,,,,,,22,,,1,,,,,,,,,,,,,,43618,1,,,12,,,,,,3,,4340,,,84,,,,17316,2016-07-29
UY,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,10,,,,,115,,,,,,,,,2,,,,,,2016-07-29
XK,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-29
